uc,run,out_of_order
UC5_P40_C10,run-20251216-110321_uc5_p40_c10_m2000_r10_s256_DIRECT,4.95
UC5_P40_C10,run-20251216-110732_uc5_p40_c10_m2000_r10_s256_DIRECT,6.6
UC5_P40_C10,run-20251216-111138_uc5_p40_c10_m2000_r10_s256_DIRECT,1.65
UC5_P40_C10,run-20251216-111544_uc5_p40_c10_m2000_r10_s256_DIRECT,6.675
UC5_P40_C10,run-20251216-111949_uc5_p40_c10_m2000_r10_s256_DIRECT,4.9
UC5_P40_C10,run-20251216-112355_uc5_p40_c10_m2000_r10_s256_DIRECT,1.65
UC5_P40_C10,run-20251216-112805_uc5_p40_c10_m2000_r10_s256_DIRECT,3.275
UC5_P40_C20,run-20251216-113224_uc5_p40_c20_m2000_r10_s256_DIRECT,5.9
UC5_P40_C20,run-20251216-113630_uc5_p40_c20_m2000_r10_s256_DIRECT,7.275
UC5_P40_C20,run-20251216-114729_uc5_p40_c20_m2000_r10_s256_DIRECT,7.575
UC5_P40_C20,run-20251216-122244_uc5_p40_c20_m2000_r10_s256_DIRECT,9.475
UC5_P40_C20,run-20251216-122701_uc5_p40_c20_m2000_r10_s256_DIRECT,4.2
UC5_P40_C20,run-20251216-123115_uc5_p40_c20_m2000_r10_s256_DIRECT,7.65
UC5_P40_C20,run-20251216-123527_uc5_p40_c20_m2000_r10_s256_DIRECT,6.225
UC5_P40_C20,run-20251216-123941_uc5_p40_c20_m2000_r10_s256_DIRECT,12.125
UC5_P40_C20,run-20251216-124352_uc5_p40_c20_m2000_r10_s256_DIRECT,10.325
UC5_P40_C20,run-20251216-124810_uc5_p40_c20_m2000_r10_s256_DIRECT,8.0
UC5_P40_C30,run-20251216-125230_uc5_p40_c30_m2000_r10_s256_DIRECT,11.475
UC5_P40_C30,run-20251216-125642_uc5_p40_c30_m2000_r10_s256_DIRECT,20.4
UC5_P40_C30,run-20251216-130054_uc5_p40_c30_m2000_r10_s256_DIRECT,8.875
UC5_P40_C30,run-20251216-130508_uc5_p40_c30_m2000_r10_s256_DIRECT,7.975
UC5_P40_C30,run-20251216-130920_uc5_p40_c30_m2000_r10_s256_DIRECT,10.725
UC5_P40_C30,run-20251216-131331_uc5_p40_c30_m2000_r10_s256_DIRECT,10.7
UC5_P40_C30,run-20251216-131747_uc5_p40_c30_m2000_r10_s256_DIRECT,15.725
UC5_P40_C30,run-20251216-132200_uc5_p40_c30_m2000_r10_s256_DIRECT,0.0
UC5_P40_C30,run-20251216-132617_uc5_p40_c30_m2000_r10_s256_DIRECT,12.35
UC5_P40_C30,run-20251216-133030_uc5_p40_c30_m2000_r10_s256_DIRECT,7.1
UC5_P50_C10,run-20251216-100908_uc5_p50_c10_m2000_r10_s256_DIRECT,3.28
UC5_P50_C10,run-20251216-101320_uc5_p50_c10_m2000_r10_s256_DIRECT,2.14
UC5_P50_C10,run-20251216-101734_uc5_p50_c10_m2000_r10_s256_DIRECT,2.6
UC5_P50_C10,run-20251216-102143_uc5_p50_c10_m2000_r10_s256_DIRECT,2.66
UC5_P50_C10,run-20251216-102554_uc5_p50_c10_m2000_r10_s256_DIRECT,4.52
UC5_P50_C10,run-20251216-103001_uc5_p50_c10_m2000_r10_s256_DIRECT,2.6
UC5_P50_C10,run-20251216-103413_uc5_p50_c10_m2000_r10_s256_DIRECT,3.98
UC5_P50_C10,run-20251216-103820_uc5_p50_c10_m2000_r10_s256_DIRECT,5.3
UC5_P50_C10,run-20251216-104230_uc5_p50_c10_m2000_r10_s256_DIRECT,0.0
UC5_P50_C10,run-20251216-104644_uc5_p50_c10_m2000_r10_s256_DIRECT,2.74
UC5_P50_C20,run-20251216-091217_uc5_p50_c20_m2000_r10_s256_DIRECT,8.74
UC5_P50_C20,run-20251216-091625_uc5_p50_c20_m2000_r10_s256_DIRECT,5.54
UC5_P50_C20,run-20251216-092034_uc5_p50_c20_m2000_r10_s256_DIRECT,7.54
UC5_P50_C20,run-20251216-092446_uc5_p50_c20_m2000_r10_s256_DIRECT,2.0
UC5_P50_C20,run-20251216-092900_uc5_p50_c20_m2000_r10_s256_DIRECT,12.12
UC5_P50_C20,run-20251216-093311_uc5_p50_c20_m2000_r10_s256_DIRECT,7.48
UC5_P50_C20,run-20251216-093722_uc5_p50_c20_m2000_r10_s256_DIRECT,7.22
UC5_P50_C20,run-20251216-094131_uc5_p50_c20_m2000_r10_s256_DIRECT,5.9
UC5_P50_C20,run-20251216-094539_uc5_p50_c20_m2000_r10_s256_DIRECT,8.12
UC5_P50_C20,run-20251216-094948_uc5_p50_c20_m2000_r10_s256_DIRECT,5.46
UC5_P50_C30,run-20251216-083015_uc5_p50_c30_m2000_r10_s256_DIRECT,19.4
UC5_P50_C30,run-20251216-083428_uc5_p50_c30_m2000_r10_s256_DIRECT,6.16
UC5_P50_C30,run-20251216-083838_uc5_p50_c30_m2000_r10_s256_DIRECT,9.52
UC5_P50_C30,run-20251216-084248_uc5_p50_c30_m2000_r10_s256_DIRECT,15.08
UC5_P50_C30,run-20251216-084656_uc5_p50_c30_m2000_r10_s256_DIRECT,11.94
UC5_P50_C30,run-20251216-085106_uc5_p50_c30_m2000_r10_s256_DIRECT,4.14
UC5_P50_C30,run-20251216-085514_uc5_p50_c30_m2000_r10_s256_DIRECT,16.62
UC5_P50_C30,run-20251216-085922_uc5_p50_c30_m2000_r10_s256_DIRECT,20.64
UC5_P50_C30,run-20251216-090330_uc5_p50_c30_m2000_r10_s256_DIRECT,8.56
UC5_P50_C30,run-20251216-090738_uc5_p50_c30_m2000_r10_s256_DIRECT,21.32
