uc,run,downtime_total_ms,downtime_periods,downtime_p50_ms,downtime_p90_ms,downtime_max_ms
UC5_P50_C30,run-20251216-083015_uc5_p50_c30_m2000_r10_s256_DIRECT,0.72,0.04,18.0,18.0,18.0
UC5_P50_C30,run-20251216-083428_uc5_p50_c30_m2000_r10_s256_DIRECT,0.16,0.06,2.6666666666666665,2.6666666666666665,2.6666666666666665
UC5_P50_C30,run-20251216-083838_uc5_p50_c30_m2000_r10_s256_DIRECT,0.06,0.02,3.0,3.0,3.0
UC5_P50_C30,run-20251216-084248_uc5_p50_c30_m2000_r10_s256_DIRECT,0.5,0.06,8.333333333333334,8.333333333333334,8.333333333333334
UC5_P50_C30,run-20251216-084656_uc5_p50_c30_m2000_r10_s256_DIRECT,0.48,0.12,3.8,3.8,3.8
UC5_P50_C30,run-20251216-085106_uc5_p50_c30_m2000_r10_s256_DIRECT,1.1,0.1,11.0,11.0,11.0
UC5_P50_C30,run-20251216-085514_uc5_p50_c30_m2000_r10_s256_DIRECT,0.04,0.08,0.5,0.5,0.5
UC5_P50_C30,run-20251216-085922_uc5_p50_c30_m2000_r10_s256_DIRECT,0.24,0.08,3.3333333333333335,3.3333333333333335,3.3333333333333335
UC5_P50_C30,run-20251216-090330_uc5_p50_c30_m2000_r10_s256_DIRECT,0.18,0.12,1.4,1.4,1.4
UC5_P50_C30,run-20251216-090738_uc5_p50_c30_m2000_r10_s256_DIRECT,0.46,0.06,7.666666666666667,7.666666666666667,7.666666666666667
